miRNA_ID	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped
hsa-let-7i	313.172381	198.119221	707.819769	257.37485	205.585298	218.337015	326.722482	185.994439	213.390769	178.248075	139.537983	276.82485	288.555599	233.74992	432.489453	447.759714	343.976097	155.23827	334.023571	294.581304	355.626685	243.478424	260.158089	423.625499	367.992332	278.417891	270.853891	308.323358	263.362855	302.421188	295.762597	265.939008	116.817383	234.871663	295.670167	247.075153	338.697255	411.332899	230.859051	259.874197	382.474235	471.186502	229.870937	302.643069	382.924651	247.914111	236.9398	341.710412	307.114964	344.621373	204.564771	200.817214	237.015185	208.847346	244.841137	255.933528	288.428161	318.466669	245.056647	299.435954	205.304845	205.83206	278.343375	319.019257	169.796752	997.767391
hsa-mir-1-1	4.170072	0.470872	2.832898	0.11921	0.628701	1.176385	0.644741	0	0.171812	2.243199	1.792779	2.872711	0.402729	2.453482	1.120854	0.54099	0.391624	0.704828	0.93761	0.750207	0.198563	0.485017	1.393704	2.187395	6.096914	1.644663	9.038182	5.718769	1.873516	4.659571	0.386365	0.58384	0.137594	0.996909	0.830068	3.935213	3.643968	3.522614	0.95495	1.405416	1.386893	1.192446	0.879608	1.343289	0.34343	1.375009	0.442602	1.700757	2.899415	1.608877	1.39332	1.319719	0.388975	2.161421	0.735811	0.500603	0.605094	0.232712	0.223388	0.906924	0.231983	1.765716	0.321413	1.765789	1.52398	0
hsa-mir-1-2	3.892067	0.588589	2.428198	0.476841	0.209567	1.176385	0.805926	0.119765	0.687249	3.105968	0.746991	2.611555	0.805459	4.906964	2.081586	1.081981	0.391624	0.176207	0.234403	0.250069	0.397126	0.646689	1.393704	4.666443	3.701698	0.58738	10.495953	6.045556	1.605871	2.555249	1.545461	0.43788	0.275188	1.794435	0.332027	2.248693	2.876817	3.116158	2.626111	1.660946	0.308198	1.362795	1.319412	0.805974	0.858575	1.237508	0.885205	2.692865	2.899415	2.413315	1.139989	1.759625	0.129658	2.701777	1.655575	0.375453	0.605094	1.396273	1.11694	1.058078	0	1.513471	0.321413	4.120175	2.412968	0
hsa-mir-100	7915.629998	3878.333844	15974.711125	1359.830903	5731.449856	4302.274422	2169.069777	143.597767	3366.660321	5033.394337	4871.728141	6179.984205	16164.751756	12202.504158	7701.226486	12965.375713	4232.798845	4166.411901	9274.838344	10468.639344	5284.560917	3482.420486	11556.129417	2867.091546	7504.8661	5491.763529	11731.851149	8115.913897	6494.677876	12019.438528	10700.7719	8332.560962	2447.93646	1593.857448	8871.765143	8199.859344	6265.323845	2541.294856	13408.923956	5543.471817	1657.645185	15562.782535	4424.722326	8220.661589	6885.603407	5462.223004	11975.492222	11393.937539	6026.99177	11463.406825	529.335095	8962.430465	1486.531236	5549.179362	7932.043432	6415.609017	2599.282318	8606.395909	2952.966101	1432.788192	8247.455206	2178.893789	16630.213113	5790.807733	401.82268	1390.963555
hsa-mir-101-1	19699.974465	13504.47946	4146.553092	13896.33456	15661.576003	12291.809303	13218.640364	6743.226593	18455.724336	7035.018413	14560.205859	16390.642693	10350.346367	13861.281021	13943.261419	6255.832553	9650.650826	6004.425965	15210.612995	9455.359679	11359.204794	11611.786748	10604.848975	11516.488875	12813.536543	10153.32485	8284.951122	10168.298477	21135.939662	12532.742881	7744.305025	11596.225184	12115.434837	7239.151392	12279.857706	11229.692193	12530.64769	10836.91477	13166.128035	6543.872488	14238.304564	10713.275177	11517.003046	6647.401212	9905.728415	10180.291172	14854.178011	19113.531477	4902.687825	16752.588723	5919.078483	10015.34613	5513.455539	4794.843281	6564.722494	16203.032756	11364.67465	9047.618272	10145.836628	7599.717765	10826.176855	15159.178054	3168.807543	8446.162361	7132.606564	4600.566451
hsa-mir-101-2	19776.564781	13492.001363	4192.688857	13984.311698	15716.90171	12496.500255	13342.430628	6761.790107	18377.893404	7090.063075	14590.832504	16522.003919	10537.414163	14055.998273	14135.56791	6392.162131	9636.03021	6008.831137	15424.153678	9484.117616	11458.486392	11716.550373	10728.578924	11639.712127	13057.413118	10170.24138	8405.217247	10224.995989	21303.753188	12726.039922	7752.032329	11677.52487	12104.42731	7302.953541	12348.255297	11197.929403	12755.806567	10765.243129	13352.581933	6588.718036	14212.415897	10822.980205	11502.489511	6643.237015	10021.120956	10238.591551	14864.5054	19199.844891	4831.763672	16877.759324	5969.998011	10064.615633	5501.397326	4865.359655	6588.452402	16218.176011	11485.088365	9114.63939	10296.623535	7678.16666	10814.113745	15160.187035	3180.378399	8550.147728	7265.192809	4654.748711
hsa-mir-103a-1	3155.910222	2174.838153	6393.041108	6434.848102	2694.19428	2916.022596	3385.534785	3697.612564	2876.480076	3774.441814	2427.721865	4669.460683	4276.381895	4519.31381	7362.248266	4687.501409	2462.790533	2640.107825	4018.362155	4650.033409	5030.995715	2438.664374	4188.080671	6721.281545	4857.716527	2960.275288	2864.811983	3850.855806	4009.592403	4578.253963	6555.459157	3410.06204	1800.005889	2304.65327	3995.448572	4733.49895	4954.454233	5356.134219	3619.020016	3689.855861	3390.028487	9620.653982	2306.186035	3603.104771	3819.115324	2373.127925	4371.288503	4614.720448	3671.551586	5421.753331	3220.723488	2698.824988	4137.133771	2919.810184	2984.633689	2745.18432	3339.312335	3701.869587	3763.641189	3551.815268	3462.112441	2777.219335	3798.454969	6289.741294	3029.544889	8453.075057
hsa-mir-103a-2	3161.05331	2184.726456	6487.336137	6477.286938	2750.986956	2913.905103	3410.840868	3693.061509	2949.672079	3747.350868	2421.148341	4646.217841	4237.51851	4494.109859	7357.924973	4734.206913	2451.825071	2668.12472	4043.443223	4634.779199	5034.569853	2498.644782	4198.61088	6778.153815	4843.345229	2938.189819	2891.343419	3928.140887	4009.860048	4560.66784	6579.413803	3408.164561	1827.937489	2277.736738	4015.204187	4754.580447	5002.592971	5400.302376	3677.271938	3694.199874	3436.258249	9707.021139	2314.395711	3635.7467	3885.912494	2424.140757	4369.223025	4632.720125	3663.968501	5435.911446	3266.956393	2738.636506	4175.642255	2968.712344	3066.124766	2777.973847	3401.233625	3701.636874	3798.489718	3543.350648	3453.99304	2736.860108	3738.350799	6312.304157	3034.75182	8531.24314
hsa-mir-103b-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-103b-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-105-1	0.417007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171715	0	0.147534	5.810919	0	0	0	0	0	0	0.183953	0	0	0	0	0	0.231983	0	0	0	0	81.38047
hsa-mir-105-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176207	0	0	0	0	0.309712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137501	0.295068	4.818811	0	0.160888	0	0	0	0.270178	0	0	0	0	0.223388	0	0	0	0	0	0	83.093743
hsa-mir-106a	8.340143	2.23664	12.95039	96.321852	3.981774	5.176093	4.674372	90.302516	6.872489	4.313845	14.192836	6.528888	11.880517	6.914358	14.090734	5.770564	3.655154	2.29069	19.68981	13.503727	2.382758	2.748428	13.782184	3.645658	5.66142	5.991271	4.519091	4.738409	8.832291	4.509262	4.829566	7.735877	4.403011	3.588871	6.97257	3.091953	10.740117	4.606495	12.175607	3.960718	12.173837	15.672147	1.612615	2.014934	3.949447	2.887519	3.983421	13.039136	2.676383	9.331484	65.232729	7.258454	61.069011	2.161421	2.207433	4.755733	8.471317	21.874948	2.457268	2.720771	5.567589	8.576336	3.214127	3.33538	2.412968	4.711501
hsa-mir-106b	238.945105	163.863313	819.516886	305.058936	182.742487	269.862669	253.705568	92.578043	293.283448	140.113685	217.673277	284.137205	307.886609	233.303832	534.327029	248.85558	149.339148	70.306549	388.404952	603.166474	160.041937	143.888312	348.116301	248.342246	358.84696	160.824512	179.160082	266.494646	335.627053	282.881052	241.285097	180.844364	175.432465	198.384809	251.012517	352.201555	883.949969	180.872668	413.493151	250.547346	159.338582	631.826008	149.973194	218.956149	188.371454	250.526628	235.021856	497.4714	98.134048	337.381428	110.958972	203.676605	208.490382	205.605214	179.905809	235.033333	396.134901	217.934991	187.645928	167.025103	226.879253	188.679388	250.380472	401.030358	121.664389	762.834824
hsa-mir-107	64.080101	28.605449	69.203648	134.945961	34.997701	37.644313	43.197644	55.930073	53.777223	53.836786	54.679766	67.378124	59.805313	49.961815	123.133798	51.935078	40.598317	32.774481	76.649619	76.020982	53.612063	30.07104	83.157675	90.558153	55.743217	42.291325	42.858474	72.546673	69.587746	58.921027	76.307136	61.303174	32.197017	36.686236	72.879957	55.374067	59.26243	73.432948	73.292377	53.278043	33.439528	144.797009	37.383347	72.671949	70.231472	34.375223	59.013649	152.642934	40.591811	88.970877	40.786289	35.632408	61.457986	39.445941	43.780759	54.69093	65.753553	66.555694	57.634107	56.380419	54.283993	32.287382	40.176584	63.96081	28.447623	63.605262
hsa-mir-10a	144625.173805	174208.597291	92751.099974	114647.680771	114238.154536	123068.199731	154821.64692	93419.389795	103323.913442	78368.58665	183499.618586	159283.974244	174281.742223	213299.255212	98166.779526	97732.078115	152726.562108	156465.19817	124740.340624	117322.130908	175011.218821	129919.019982	144489.015444	113201.337169	131516.539949	94070.59174	94674.659723	36909.426787	140130.98555	129608.973312	85490.072442	115838.331853	238162.986804	145852.311981	107312.499294	165918.976215	187934.207579	101743.382194	204713.726421	86312.219045	238927.124327	89991.00044	158664.602324	85738.660657	116084.380795	157081.846032	193350.991201	108299.948892	105457.301318	93434.705432	85834.237936	174648.289435	101945.313803	125921.981332	111952.735911	126611.004566	165001.279774	74249.857987	258633.276414	131986.712964	104418.740226	212087.992197	131597.919174	77172.053207	190708.295022	15667.239542
hsa-mir-10b	104937.628933	240290.480683	57601.312522	200702.672681	180293.486111	196303.093186	141412.646787	408575.649076	258704.522166	200089.244825	159084.35594	122220.782965	109472.919873	144569.641417	93082.906835	268332.315971	214611.712993	153292.593126	10350.511443	139869.353942	31214.333086	263784.783181	203701.925727	74510.111015	64526.911018	238550.79846	226349.447876	219260.226548	111661.300381	153039.701198	190585.863011	249164.999683	196731.755092	302769.312362	280973.815676	39950.000309	58631.256502	98402.04756	24101.732684	243859.865203	155435.094492	66525.708198	213985.359508	273647.23048	251820.351673	247527.183927	75637.203562	119451.528569	147051.194526	154608.538598	379235.219087	236625.3646	349151.244472	232802.650335	137714.401552	203052.279523	158082.029372	346450.196211	33327.033791	235053.44501	235689.034378	85028.315782	226549.651026	75990.740201	121798.245391	30463.922217
hsa-mir-1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1179	0.55601	0	0.4047	0.11921	0	0	0.161185	0.239529	0.687249	0	0.149398	0.261156	0	0	0	0.36066	0.130541	0	0.468805	0	0.198563	0.323345	0	0	0	0	0	0.49018	0	0.300617	0	0.14596	0	0	0	0	0.191788	0.135485	0	0	0.924595	0.340699	0	0	0.34343	0.137501	0.147534	0.850378	0	0	0.126665	0	0.388975	0.270178	0	0	0.201698	0	0	0	0	0	0	0.392398	0.253997	0.214159
hsa-mir-1180	4.448076	4.237844	49.373363	37.908848	5.448744	4.940816	3.06252	20.359984	11.511418	18.290703	6.274727	4.700799	5.436847	9.36784	17.933661	8.114856	3.655154	10.043793	9.141698	13.003589	11.318102	1.940067	13.472472	10.791149	10.016359	9.398072	3.935982	9.313424	5.888194	4.659571	8.306853	4.962638	5.778952	5.78207	10.790882	5.902819	19.945931	9.75493	6.923384	12.009919	12.790234	17.205292	2.19902	5.104499	3.090872	3.712524	4.130955	8.645514	6.244894	8.527046	21.153137	6.158688	17.763173	3.242132	2.759292	2.377867	8.471317	13.730021	12.286341	3.627695	3.479743	0.756736	8.678142	4.708771	10.159865	17.561049
hsa-mir-1181	0	0.235436	0	0	0	0	0	0.119765	0.343624	0	0.149398	0	0	0	0	0	0	0	0	0	0	0.323345	0	0	0.435494	0.469904	0	0	0	0	0.193183	0	0	0	0	0	0	0	0	0	0	0	0	0.134329	0.171715	0.550004	0	0	0	0	0	0	0.259316	0.540355	0.367906	0	0	0	0	0.302308	0	0	0	0.392398	0.126998	0
hsa-mir-1182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1184-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1185-1	0	0	0.4047	0	0	0	0	0	0	0	0	0	0	0.223044	0	0	0	0	0.234403	0	0	0	0	0	0	0.117476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126665	0	0	0	0	0	0	0	0	0	0	0	0	0.588596	0	3.426546
hsa-mir-1185-2	0	0	0	0	0	0	0	0.119765	0	0	0	0	0	0	0	0	0	0	0.234403	0	0	0	0	0	0	0.117476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126665	0	0	0	0	0	0	0	0	0	0	0	0	0.196199	0	1.499114
hsa-mir-1193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.425189	0	0.160888	0	0	0.129658	0	0	0	0	0	0	0	0	0	0	0.196199	0	0.856637
hsa-mir-1199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
