miRNA_ID	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped	reads_per_million_miRNA_mapped
hsa-mir-1269b	0.312565	0.303774	0.246271	0.333324	0	0.181333	67.557653	0	161.953451	0.864221	0.443612	0	1.613665	0.176009	0	1.859704	0	1.886274	0.118347	486.934656	0.374382	0	10.29249	205.64254	197.883098	1.475165	0	0.169	0	219.703354	0	0	0	0.61236	0	0.394345	9.33556	5.78796	0.155867	228.358837	0	0	0.288353	98.590972	0.211389	82.696793	0.228357	145.133542	0.133474	0.895977	9.006807	0.14906	339.310349	0.108784	187.936279	0.093225	1.095955	195.76424	123.504917	198.539098	0.139325	0.399857	0.787792	0.104255	115.943047	279.19027	0.154212	19.49003	0.104414	10.002655	0.082448	0	0.148052	6.907732	0.2847	0.466658	84.513582	0.202243	0	0.156538	0.182597	223.068872	0.152997	238.028497	0.888041	28.007574	258.362584	0	0.098542	444.345257	0.1979	34.600069	0.449609	0.232693	69.933629	928.319728	0	0	534.652211	0	33.021234	32.352259	0	487.765982	0.093886	0	0.446806	0.19139	0	1.193352	218.827768	0	0.363139	0	0	0	0	0.334172	0	0	0.284168	16.237449	0.204251	0	239.793073	110.259238
hsa-mir-127	159.408276	779.483129	39.649674	5236.18672	5.668463	479.716497	126.761402	2043.847059	36.561398	4.321103	148.61011	113.108266	153.96589	302.031585	357.124817	28.825404	1221.301029	5.803921	375.516068	619.935653	432.411467	774.50808	466.174485	845.98807	391.788647	15.194201	239.273255	449.034272	113.755005	158.866861	369.860571	194.824517	340.408834	95.732338	1701.336241	335.587375	412.382786	851.756218	1596.082739	827.342089	118.378853	55.394135	219.4369	186.70604	232.1053	253.067502	705.395119	280.161073	739.444858	51.369352	387.292705	309.002389	309.200898	89.203155	349.648891	622.182223	98.270656	697.585474	355.096104	240.791872	19519.393793	1370.210972	193.009054	12420.64619	200.767182	999.459275	835.365202	233.512629	145.135184	505.900034	1431.703261	312.554184	147.60766	844.430015	535.616149	1784.968466	71.200823	689.951842	38.540815	215.396026	484.978538	239.373311	4.742911	241.624094	6270.676081	5959.120654	715.032965	1911.661402	98.246144	133.446453	115.276627	302.141452	55.75156	588.014852	192.50793	8646.451415	698.05129	51.519998	223.326243	445.488175	184.461524	834.643338	299.942391	873.481634	52.388586	1914.055276	90.254764	2.10529	250.50712	504.788028	1113.06546	11.70701	20750.832768	1176.199508	383.017504	1172.467011	991.780238	176.108729	407.394628	261.30007	150.182642	1427.260084	5.242434	278.812296	312.524612	248.494701
hsa-mir-1270	0	11.239624	0	1.333296	1.417116	4.170659	1.08964	0.630331	6.499804	0	5.05718	5.057445	5.84258	1.408073	5.306753	1.627241	1.069128	8.705882	5.680672	6.737168	5.615733	3.161257	0	3.199168	19.887749	1.917715	0	8.112023	0	0.288325	2.214734	0.835261	4.776379	0.20412	3.009439	6.013757	0.373422	0	0	8.750462	12.254892	3.692942	4.902007	2.937169	3.593616	3.318081	7.535785	0	1.334738	2.090613	0.818801	1.043423	1.737084	4.242589	6.555917	2.050945	0.182659	5.827601	7.008476	2.936486	0	3.69868	0	1.668082	7.026851	0.14962	0	0	0.104414	0	5.523992	0.232798	0.148052	2.489996	0	7.466535	1.495816	4.247102	2.00212	8.139966	4.747531	0.241547	1.988962	0	2.664122	0	5.261598	0.321396	3.153337	0.285753	0	0.487325	2.697656	0	2.209232	29.478975	21.388758	7.465143	0.093716	0.598774	0	0	0.466473	0	3.192136	3.783653	2.085094	11.674789	3.143429	0	2.343296	0	9.441605	5.521199	0.170154	17.143234	10.247611	0.167086	0	4.824595	1.136671	3.621302	3.06376	0.362565	0.100458	12.891005
hsa-mir-1271	0.312565	3.645284	3.447798	2.333268	1.720783	2.08533	0.726426	1.575827	3.249902	2.304588	0.443612	1.011489	0.945942	2.464127	2.948196	2.092166	7.127523	6.529412	2.485294	3.368584	1.497529	8.908998	2.259327	5.630536	2.485969	2.360264	1.72139	7.774022	3.130872	1.441623	0.790976	0.208815	3.674137	2.245321	1.003146	4.534965	2.11606	2.083666	6.000897	5.645459	1.829723	3.304212	2.018473	3.035075	2.166739	1.914278	1.5985	1.263251	3.069897	3.583908	3.002269	2.384968	1.737084	3.807452	3.774619	4.381565	0.913296	3.021719	0.467232	2.936486	6.548262	4.198502	0.590844	2.710634	2.007672	1.645816	5.2432	1.470946	3.758897	3.514446	3.050563	2.514215	1.776622	0.803225	2.941903	1.866634	1.047071	4.853831	3.336867	1.721916	1.643376	2.415472	1.835965	3.020301	1.998091	5.092286	2.177213	5.785122	1.281043	2.571773	2.374797	5.847899	5.170508	5.933668	2.666315	5.895795	8.888835	1.682286	2.530344	1.796323	4.239213	4.942706	1.39942	1.210767	4.037113	1.41887	2.531899	4.593359	1.692616	1.193352	3.785324	1.937712	1.815693	2.94464	3.403088	2.604036	3.180293	1.002516	3.924513	1.254395	3.267929	3.270853	2.587175	3.625648	1.808243	4.936981
hsa-mir-1272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231518	0	0	0	0	0	0.195811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273c	0	0	0	0	0	0.090667	0	0	0	0	0	0.059499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1273h	0	0	0	0.333324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127967	0.497194	0	0.132415	0	0	0	0	0	0.183707	0	0	0.197172	0	0	0.077934	0	0	0	0	0	0.052847	0.127619	0	0	0	0	0	0	0	0	0.198664	0	0	0	0	0	0	0.199929	0	0	0	0	0	0	0	0	0	0	0	0	0.1898	0	0	0	0	0	0	0.120774	0	0	0	0	0	0	0	0	0.09895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19139	0	0	0	0	0	0.18404	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116158	0	0	0	0	0	0	0	0	0	0	0	0.208815	0.091853	0	0.501573	0	0	0	0.077934	0.282273	0.042552	0	0	0	0	0	0	0.140361	0	0	0	0	0.289514	0	0	0	0	0	0	0	0.139325	0.099964	0	0	0	0	0.154212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116346	0	0	0	0	0	0	0	0.224668	0.466473	0	0	0	0.148935	0	0	0	0.180254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1276	0	0.303774	0.246271	0	0	0.362666	1.08964	0.315165	0	2.304588	0.266167	0.416495	0	0.352018	0.393093	0	0	0.290196	0.828431	1.510055	0.748764	0	0.502073	0	0	0	0.132415	0.507001	0.41745	1.729948	0.158195	0	0.551121	0.61236	0.501573	0.295759	0.124474	0.231518	0.779337	0.282273	0	0	0.192236	0	0.369931	0	0.228357	0	0.133474	0	0.272934	0	0	0	0.794657	0.559349	0	0.215837	0.311488	0.489414	0	0.299893	0	0.521276	0.501918	0.14962	0.616847	0.367736	0.104414	0.180228	0.329791	0.325917	0	0.160645	0.949001	0	0.149582	1.011215	0	0.156538	0	0.241547	0.152997	0.575295	0	0.89115	0.181434	0.214264	0.098542	0.285753	0	0	0	0.232693	0	0.267991	0.277776	0.420571	0.281149	0	0.055779	0.224668	0	0.345933	0.093886	1.41887	0	0.19139	0	0	0.180254	0.40369	0.363139	0.36808	0.170154	0.651009	0.82452	0.167086	0	0.192984	0.284168	0.584081	0.340418	0.181282	0.100458	1.371384
hsa-mir-1277	0	2.430189	0.492543	0.999972	0.202445	1.359998	1.08964	0.630331	0.54165	0.288074	0.532335	0.416495	0.445149	0.704036	0.196546	0.232463	0.356376	1.160784	0.946779	1.858529	0	1.149548	0.502073	0.639834	0.745791	0.44255	0.397244	1.521004	0.730537	2.883246	0.316391	0.41763	0.183707	1.020601	1.50472	0.985862	0.871319	0.231518	0.857271	1.129092	0.851034	0.777462	0.961178	0.489528	0.951251	1.020948	1.141786	0.982529	0.533895	1.791954	0.545867	1.490605	0.579028	0.652706	0.595992	1.118697	0	0.431674	0.934463	1.794519	4.040417	1.899322	0.196948	1.980848	1.003836	0.299239	0.462635	0	0.730897	1.081368	0.659581	0.97775	0.592207	0.240967	1.233701	1.866634	0.299163	0.202243	0	0.626151	0.456493	0.966189	0.458991	1.582063	0.66603	1.273072	1.088606	0.964187	0.197084	0.857258	0.692649	0.487325	1.798437	1.047118	0.685624	1.607944	1.38888	0.630857	0.562299	0	0.502012	2.022016	0	0.864833	0.751091	1.41887	0.297871	0.95695	0.967209	17.303609	1.802535	0.322952	1.089416	0.55212	1.531389	0.217003	0.588943	0.668344	0.452828	0.48246	0.426252	0.934529	0.476585	0.181282	0.50229	0.82283
hsa-mir-1278	0	0.303774	0	0	0	0	0	0	0	0	0.088722	0.059499	0	0	0	0.232463	0	0.145098	0.118347	0	0	0	0	0.255933	0	0.147517	0	0	0	0.288325	0.158195	0	0	0.30618	0	0.098586	0	0	0.155867	0	0	0	0	0.195811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104255	0	0	0.154212	0	0.208828	0.090114	0	0	0	0	0	0	0	0	0	0	0	0.120774	0.305994	0	0	0	0.181434	0	0.197084	0.142876	0	0	0.224805	0	0	0	0	0	0	0	0	0.224668	0	0	0	0	0.148935	0	0	0	0.360507	0	0.363139	0	0	0	0.117789	0	0	0	0	0	0	0	0	0
hsa-mir-1279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-128-1	285.997202	47.388686	96.538337	195.327864	42.918364	257.492884	66.831226	52.632607	54.165034	107.451425	91.11796	117.035223	286.175126	68.467533	339.828733	124.135209	68.067843	90.250979	111.956571	294.228407	104.078258	69.835051	78.072302	57.457063	146.174952	21.094862	304.156429	80.613228	76.706356	169.823196	102.035957	45.730514	119.22576	334.654943	79.248563	185.834959	56.760202	60.889341	117.056459	94.84372	47.402603	123.810751	66.032917	70.100433	132.43531	146.250811	74.444419	60.636064	52.855625	102.440044	169.082333	148.762366	46.032718	83.546369	125.953066	76.910449	29.773451	92.594111	101.389282	52.856752	1352.285768	72.274205	28.360514	757.413688	117.197842	95.457338	122.598364	77.960122	178.025531	111.741368	75.934276	99.497734	54.186965	82.812456	87.118289	58.798961	49.062752	111.840354	88.426978	236.841706	86.55114	108.81703	103.732043	63.138677	579.446436	649.648416	100.696091	54.208735	105.242609	67.437608	158.517731	107.698808	106.107808	97.032922	88.21693	514.810103	79.166183	85.796568	79.096664	66.463962	99.454157	62.457833	99.825306	58.635698	60.744472	74.72714	66.871929	133.972984	95.511884	856.82696	65.61228	75.812979	185.200719	122.386586	339.117675	94.830295	134.867978	73.350789	61.88655	112.220082	53.139364	122.773805	96.610562	71.606539	106.686319	72.957605
hsa-mir-128-2	242.238067	30.073589	39.403403	167.661972	29.050874	183.59968	45.401648	32.146862	36.832223	64.816543	60.242546	66.698773	137.996172	43.122225	200.477333	75.550455	34.924862	52.815685	61.54061	184.923657	59.901156	38.509864	39.161669	34.039151	102.421905	13.424003	162.605179	53.742152	51.55502	95.435447	57.424888	37.586724	72.747921	193.301757	43.636867	91.783739	26.761938	45.609126	71.075559	46.010495	29.190472	98.931982	39.600527	40.630837	83.234482	85.759638	47.269922	36.77465	32.701081	61.225099	87.065802	70.952792	27.214311	49.93201	70.327106	43.535975	12.055508	57.628503	53.264416	25.612686	1060.121823	36.786871	30.72389	519.086408	63.994539	61.792916	80.344336	52.218572	101.281387	63.980945	53.838309	66.58014	32.719451	52.530888	51.151152	42.932575	30.215475	85.751013	43.212429	135.874819	57.518163	69.44483	68.38971	33.367137	472.437554	569.190293	49.531591	37.281897	58.632353	40.291113	83.117911	72.611413	62.720505	56.311672	51.040884	335.524336	44.721949	51.62514	50.044572	62.272541	58.456509	31.004248	76.035163	38.744532	38.305633	47.768615	29.48918	73.876531	63.593989	508.368085	31.724619	41.822282	168.859479	95.884829	188.701205	67.487922	90.226088	43.776553	42.414928	65.807477	26.995934	89.481194	47.045735	42.963923	58.767888	48.821255
hsa-mir-1281	0	0	0	0	0	0	0	0	0.270825	0.288074	0	0	0	0	0	0	0.356376	0	0	0.116158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1283-1	0	0	0	0	0	0.090667	0	0	0	0	0	0	0	0	0	0	0	34.098039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127655	0	0	0	0	0	0	0	0	0	0	0	0	0	0.993321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.071963	0	0	0	0	23.25989	0	0	0	0.657204	0	0	0.19139	0.241802	0	0	0	0	0	0	0	0	0	0.150943	0	0	0	0	0	0	0
hsa-mir-1283-2	0	0	0	0	0	0	0	0	0	0	0.088722	0	0	0	0	0	0	42.803921	0	0.116158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25531	0	0	0	0	0	0	0.140361	0	0	0	0	0	0	0.397328	0	0	0	0	0	0	0	0	0	0	0	0.154212	0	0	0	0	0	0	0	0	0	0	0	0	0	0.091299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.875935	0	0	0	0	32.407664	0	0	0	0.469432	0	0	0.19139	0	0	0	0	0	0	0	0.217003	0	0	0	0	0	0	0	0	0	0
hsa-mir-1284	0	0.303774	0	0.333324	0	0.362666	0.726426	0.315165	0.54165	0.576147	0.177445	0.178498	0.111287	0	0.393093	0	0.356376	0.290196	0.710084	0.232316	0.748764	0.287387	0	0.3839	0	0	0	0.338001	0.313087	0	0	0.208815	0	0.40824	0.501573	0.098586	0	0.231518	0.389669	0	0.042552	0.583096	0.192236	0	0.211389	0	0.685071	0.140361	0	0.298659	0.4094	0	0	0.326353	0.794657	0.093225	0	0	0.155744	0	0.139325	0.199929	0.393896	0	0	0.14962	0	0	0.522069	0.270342	0.082448	0.279357	0	0.160645	0.759201	0.466658	0	0.202243	0.166843	0	0	0.483094	0.152997	0.719119	0.22201	0.509229	0.181434	0.107132	0.098542	0.285753	0.1979	0	0.449609	0.581732	0	0.267991	0	0	0.187433	0	0.055779	0	0	0	0	0	0.148935	0.38278	0.725407	0	0.180254	0	0.363139	0.18404	0.170154	0.651009	0.117789	0	0.754714	0.385968	0.284168	0.116816	0.136167	0	0.401832	0.274277
hsa-mir-1285-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.176009	0.196546	0	0	0.145098	0.236695	0	0	0.287387	0	0	0.497194	0	0	0.169	0.104362	0	0.158195	0	0	0.10206	0	0	0	0	0.077934	0	0	0	0	0	0.105695	0	0	0.280723	0	0	0	0	0	0	0	0.093225	0	0.215837	0	0.163138	0.139325	0.099964	0	0	0	0	0.308424	0	0	0.090114	0.164895	0.04656	0	0	0.0949	0	0	0	0.166843	0	0	0.120774	0	0.143824	0	0	0	0	0.098542	0	0	0	0.224805	0.116346	0	0.267991	0	0.210286	0.093716	0	0	0.224668	0.466473	0	0	0	0	0.19139	0	1.193352	0.360507	0.080738	0	0.18404	0	0	0	0	0	0.096492	0	0	0	0	0	0
hsa-mir-1285-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-mir-1286	0.312565	0	0	0.333324	0	0	0	0	0.270825	0	0	0	0	0	0	0	0	0	0	0.116158	0	0.287387	0	0	0	0	0	0	0	0	0.158195	0	0	0.20412	0	0	0	0	0	0	0	0	0	0	0.052847	0	0.228357	0	0	0	0.136467	0	0	0.108784	0	0	0	0	0.155744	0	0	0.099964	0	0	0	0	0	0	0.104414	0	0	0	0	0	0.0949	0	0	0	0.166843	0	0	0	0	0	0.22201	0	0	0	0	0.142876	0.09895	0	0	0	0	0.267991	0	0	0.281149	0	0	0	0	0	0.093886	0	0	0	0	0	0	0	0	0	0	0.217003	0	0.167086	0.301886	0	0	0	0	0	0	0
hsa-mir-1287	5.001044	15.492455	43.097472	67.331448	13.563822	33.002609	12.712462	39.71083	9.478881	23.910103	8.606078	50.157953	41.621426	12.672654	33.412889	5.114185	33.142981	17.556862	30.53361	7.201801	13.852142	38.797251	17.572544	15.739908	36.046544	21.832444	21.583586	25.857073	29.012744	39.212147	26.260417	5.220378	82.208825	42.150806	20.062927	84.291188	18.048749	30.56043	49.721718	20.323654	35.020056	34.208308	8.650601	24.672219	62.254108	27.437979	10.732784	28.352974	22.557072	34.047128	34.526094	40.395392	40.242439	16.31765	25.627674	11.559873	0.730637	11.223529	12.303769	20.88168	26.053723	63.377381	8.862661	15.846783	28.609323	9.725277	41.328757	7.722465	38.319865	27.665	13.438965	48.375361	6.218176	9.47805	20.498421	16.333045	26.475936	60.571765	40.042405	38.664839	26.933108	10.02421	11.168789	12.081205	21.756993	45.575962	35.198273	13.07009	39.416708	9.286959	38.491509	8.284524	10.341015	30.831804	42.737217	26.799068	7.77773	47.419426	39.360899	2.395098	8.645762	45.158361	8.396521	5.189	39.15061	17.97235	9.085051	28.325717	8.221276	17.900285	56.41935	15.340219	20.698904	30.918717	22.800687	28.210385	44.64189	25.731256	47.39604	44.000307	19.039237	15.536552	31.386518	29.549027	62.585289	10.696792
hsa-mir-1288	1.875391	0.911321	1.231356	0.999972	0.303668	0.272	1.08964	0.630331	0.54165	0.576147	0.266167	0.297497	0.500793	0.352018	1.375825	0.464926	1.069128	0.580392	0.355042	1.277739	0	0	0	0.255933	1.242984	0.147517	0	0.507001	0.313087	0.864974	0.949172	1.670521	0.734827	0.5103	0.501573	1.183034	0.124474	0	0.545536	0.282273	0.297862	0.971827	0.384471	0.489528	0.422778	0.255237	1.141786	0	0.533895	0.298659	0.4094	0.894363	0.868542	0.543922	0.595992	0.839023	0.182659	0.647511	0.155744	0	0.417974	0.599786	0.196948	0.312765	0.752877	0	0.462635	0.735473	0.417655	0.720912	0.989372	0.372476	0.444155	0.080322	0.0949	0.933317	0	1.415701	0.333687	0.782689	0.365195	0.241547	0	1.150591	1.776081	0.636536	0.725738	0.428528	0.394167	0.571505	0.29685	0	0.224805	1.047118	0.07618	1.607944	0.277776	0.841143	0.843448	2.993872	0.167337	1.123342	1.865894	0.5189	0	0	0.148935	0.19139	0.483604	0	1.261775	1.130332	0.726277	0.18404	0.170154	1.085015	1.766829	0.501258	0.452828	0.675443	0.710419	0.700897	0.680836	0.362565	0.50229	1.64566
